"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","danyakyd",,,,"User:","danyakyd"
"Cmdline:","dstat -tcmndry --output metrics1_2cpu_4gb.csv 5",,,,"Date:","05 Apr 2026 04:59:01 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",

"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw"
05-04 04:59:01,,342456,291128,49508,3330480,,,,,,
05-04 04:59:06,0,0.501,99.675,0,0,342424,291128,49508,3330512,0,0,0,0,0,0,62,80
05-04 04:59:11,0,0,99.672,0,0,345540,287628,49516,3330888,0,0,0,0,0,0,46,66
05-04 04:59:16,0.505,0,99.039,0,0,344856,288304,49524,3330888,0,0,0,0,0,0,75,84
05-04 04:59:21,47.057,22.786,0,0,0,362080,270664,49532,3331296,15425.792,39153.437,31.702,317.016,3.963,61.422,1736,1129
05-04 04:59:26,64.584,16.521,7.510,5.507,0,370460,255356,49540,3338216,265761.804,674515.127,576.748,6656.636,53.069,1102.430,5405,6554
05-04 04:59:31,36.421,10.477,19.458,12.972,0,370232,245932,49548,3347860,264107.773,680340.218,770.322,6338.195,52.885,1088.629,4634,6167
05-04 04:59:36,65.020,13.004,10.503,6.002,0,371272,235604,49556,3357140,375753.603,966069.075,824.249,9074.744,88.027,1544.467,6721,8591
05-04 04:59:41,70.229,11.456,7.969,6.475,0,370176,223392,49564,3370296,365423.121,928669.997,1071.865,10017.351,70.727,1608.793,6840,8600
05-04 04:59:46,62.821,13.067,8.544,7.539,0,370020,208272,49572,3385280,279938.371,728557.234,683.495,7341.539,63.324,1176.013,5294,6284
05-04 04:59:51,67.998,12.000,9.500,5.500,0,371392,197436,49580,3394496,472174.707,1208705.731,487.982,14047.486,46.998,2141.922,8025,10204
